"gene","logFC_baseline","FDR_baseline","logFC_adjusted","FDR_adjusted","sig_baseline","sig_adjusted"
"DPH2",-0.120530423481486,9.87845100690962e-05,-0.104042021369891,0.00278882048511046,FALSE,FALSE
"HRH2",0.339627350473537,9.99512422235413e-05,0.360071489287583,0.000222207028895119,FALSE,FALSE
"TCTN1",-0.192762269609418,0.000100056065964008,-0.185857621152964,0.000541664120240548,FALSE,FALSE
"AC079328.1",0.296300656061504,0.000100237625607539,0.19900469864831,0.0118904805167018,FALSE,FALSE
"CD68",0.393684552802399,0.000100336211603312,0.382388011993979,0.000599651122046173,FALSE,FALSE
"SRPK1",0.279053382828421,0.000100777756189589,0.27455703117862,0.000645720217718068,FALSE,FALSE
"TMEM183B",0.12101078821004,0.000101203508412452,0.103198693217969,0.00282262172724294,FALSE,FALSE
"SNHG10",-0.15731608443506,0.000101332054531863,-0.150090504721707,0.000916908050398613,FALSE,FALSE
"ALOX12",0.231459085740007,0.000101483716139488,0.205566453080968,0.00222072080494256,FALSE,FALSE
"NUB1",0.198168905852387,0.000101624362376026,0.177860215927774,0.00180695872768291,FALSE,FALSE
"ELMO2",0.129997753216001,0.000102278505997627,0.11789688935029,0.00178732578562824,FALSE,FALSE
"PLA2G4B",-0.394146452265514,0.000102515258064809,-0.389402457159186,0.000597111183088468,FALSE,FALSE
"GIGYF1",-0.12429300523491,0.000102724516329378,-0.117453434796005,0.00104791933016499,FALSE,FALSE
"TRIM6",0.517031543999245,0.000103443191052443,0.400393829161989,0.00592990662573652,FALSE,FALSE
"STAG3L5P",-0.23528255101921,0.000103811024085418,-0.253543384294991,0.000212809307320737,FALSE,FALSE
"FAM160B2",-0.138194633421172,0.000104740024259101,-0.137310992524132,0.000451136096559139,FALSE,FALSE
"AL034550.2",-0.358529789476286,0.000104864098447808,-0.357961059987306,0.00053072632560617,FALSE,FALSE
"DISC1",0.250730284922606,0.000105241784083273,0.193022720727349,0.00487365331081178,FALSE,FALSE
"AHSA1",-0.112894545993628,0.000105447960742654,-0.0592181400870539,0.0610203040141285,FALSE,FALSE
"BAK1P1",0.206859144345209,0.000105447960742654,0.203152773969924,0.000723361210146574,FALSE,FALSE
"CDC42BPG",-0.198224912316661,0.000105849356962635,-0.171715029749959,0.00269898749629288,FALSE,FALSE
"MBOAT2",0.3150655832073,0.000106576856566822,0.285119689878644,0.00159112478117065,FALSE,FALSE
"AC009133.1",-0.180513781128371,0.000107070609647432,-0.204300076016655,8.27926893008959e-05,FALSE,FALSE
"HNRNPH2",0.173119979696165,0.000107241069674062,0.187564260523855,0.000159464053273474,FALSE,FALSE
"CDC42EP3",0.216667681317913,0.000107819478082875,0.168450307239279,0.00701805185897326,FALSE,FALSE
"TK2",0.178610604413484,0.000108428872455527,0.166685652408898,0.0014616590160826,FALSE,FALSE
"FZD1",0.246652042048642,0.000108487711219798,0.25118543482037,0.000459980771735955,FALSE,FALSE
"QTRT1",-0.167929630171777,0.000108682775895412,-0.143974376159682,0.00270135145645428,FALSE,FALSE
"SCIMP",0.191340226564222,0.000109375316148874,0.174524256769918,0.00179848748251798,FALSE,FALSE
"AC010319.1",0.270697594960322,0.000109537816523818,0.226902301508637,0.003009475348589,FALSE,FALSE
"MSTO2P",-0.155444321632656,0.000109537816523818,-0.177974677314863,6.30030095351962e-05,FALSE,FALSE
