"gene","logFC","logCPM","F","PValue","FDR","sig"
"RPS3AP20",0.179941660808366,2.92959603198898,1.29479444727797,0.255800113517439,0.403269577867657,FALSE
"ZNF644",-0.0984504298380556,3.9178774114833,1.29455887023864,0.255843252710593,0.403295206174668,FALSE
"MED19",0.0364079180861745,3.38947768357631,1.29354802061717,0.256028687464592,0.403545111298993,FALSE
"IRF2BP2",-0.0319288328885615,6.3624705679692,1.2930983990892,0.256111179900492,0.403624677049116,FALSE
"ABCE1",-0.0673053475231026,4.18287549506638,1.29288227389736,0.256150864391387,0.403624677049116,FALSE
"SYNE4",-0.0653466557481701,0.80588907575615,1.2928163579176,0.256163864262183,0.403624677049116,FALSE
"PBXIP1",-0.0528358191959081,9.00158175046886,1.29268662007753,0.256186786752545,0.403624677049116,FALSE
"GATAD2A",0.0468961211226231,7.40817134305714,1.29227027611914,0.256263259954869,0.403702764448487,FALSE
"CSNK1D",0.0407559577901655,8.14552362158889,1.29188445817218,0.256334151372681,0.403771533871078,FALSE
"NIFK-AS1",-0.0401047138153852,1.95236165984273,1.29169991591995,0.256368236935212,0.403771533871078,FALSE
"ZNF582",-0.0602110992694891,0.757212911417311,1.29159857940362,0.256387657089447,0.403771533871078,FALSE
"ATAD1",-0.0731172240357312,4.04260400937461,1.29143359502345,0.256417031634632,0.403775407639629,FALSE
"MT-ND4",0.0834798032868254,12.7066109207868,1.2906435300577,0.256562328024063,0.40396180153411,FALSE
"EXO5",-0.0333374680329863,2.42688092665095,1.290151655057,0.256652933185279,0.404062053063864,FALSE
"BNIP1",-0.0485277895994072,2.45240733893781,1.28944980125848,0.256782151590092,0.404223068012021,FALSE
"ABHD11",0.0496362282203639,3.57796972965526,1.28922082160064,0.25682425901949,0.404246934614457,FALSE
"N4BP2L2",0.0598232832397028,6.673927435049,1.28840358734246,0.256974835853773,0.404441511485344,FALSE
"CACNA2D3",0.0658169847961554,2.74564081031202,1.28819751172458,0.257012891779961,0.404458974350464,FALSE
"GIGYF2",-0.0378802377237732,5.5427763761807,1.28789241321343,0.257069088889144,0.404504979181345,FALSE
"TAB3",0.0731622723599109,4.38893711581245,1.28681844123684,0.257267255047631,0.404750408793404,FALSE
"NOC4L",0.0583267628931675,4.85336405693721,1.28675468824767,0.257279022680569,0.404750408793404,FALSE
"FARP1",-0.0801756687375103,1.58187710724723,1.28659845635271,0.257308150308769,0.404753787452255,FALSE
"DENND2B",0.110622558214276,-0.0920980156003954,1.28611818392275,0.257400115975754,0.404856001244314,FALSE
"CHI3L1",-0.171973795762728,7.08278121664186,1.28577904702534,0.257459215897693,0.404873759862157,FALSE
"SYNJ2BP",-0.0584054370935421,3.65135113309667,1.28574576395167,0.257465382554658,0.404873759862157,FALSE
"C1R",0.063182726719424,1.86499854803389,1.28537124722385,0.257534770767346,0.404937830827183,FALSE
