"gene","logFC_79362","logCPM_79362","F_79362","PValue_79362","FDR_79362","sig_79362","logFC_94438","logCPM_94438","F_94438","PValue_94438","FDR_94438","sig_94438","sig_status"
"FBXO6",0.597627773154484,4.977952639569,61.3718888137824,5.46209153815809e-14,1.25590174186399e-11,FALSE,0.633436712082511,5.1236484401193,78.321003352479,2.30203304945505e-17,1.01573822964484e-14,FALSE,"Neither"
"APOL2",0.447557338396082,7.63599146469707,60.7456184068452,7.16584329622521e-14,1.62507583245217e-11,FALSE,0.487167381611404,7.52957979838936,53.9535280516928,1.03939196426365e-12,1.49932290845032e-10,FALSE,"Neither"
"GBP3",0.476495566519679,5.51028521905255,60.5261409520241,7.88285795421771e-14,1.76352315448749e-11,FALSE,0.38164794241351,4.77514067791488,28.3424649119985,1.64106616398038e-07,5.52523279544245e-06,FALSE,"Neither"
"LAP3",0.747531651132085,6.64909014955815,60.4594867902713,8.11404670946855e-14,1.79104057700336e-11,FALSE,0.948316347916503,6.40352212557048,113.856410894994,9.72891640083548e-24,2.91906407690668e-20,FALSE,"Neither"
"UBE2L6",0.582780502778874,7.87498527500922,60.3989333074614,8.3302306258703e-14,1.81456536856951e-11,FALSE,0.67070760154816,8.27715823452054,73.2965813821207,2.0020834436663e-16,6.82619450497315e-14,FALSE,"Neither"
"ADCY3",0.506042620232778,3.97015260177677,60.263933989827,8.83979788916777e-14,1.90055654617107e-11,FALSE,0.23063573768529,3.85548086326792,23.6207535177805,1.64718683514997e-06,3.81973867824768e-05,FALSE,"Neither"
"DHRS9",0.621376985106596,5.7137040189968,59.6322626203551,1.16277877246446e-13,2.46792340745501e-11,FALSE,0.702810162963151,5.33396283842604,68.6199830968131,1.53121602104033e-15,4.17660049957219e-13,FALSE,"Neither"
"HCAR3",0.707640444774952,5.7381137877898,59.2904489314687,1.34945494658696e-13,2.82787678996799e-11,FALSE,0.543256487751619,5.41339576704254,33.6477976173168,1.2819828659865e-08,6.14450701454618e-07,FALSE,"Neither"
"MAPK14",0.460615253499826,7.95395330095739,59.0720402367173,1.48417677895683e-13,3.05491114154798e-11,FALSE,0.35357426601381,7.50351281465263,27.5775131905529,2.37850670768148e-07,7.575872107991e-06,FALSE,"Neither"
"STK3",0.431884127247011,2.98204574788621,59.0615129365812,1.49470131359339e-13,3.05491114154798e-11,FALSE,0.338370431268497,2.49366270793216,25.4557938733103,6.69186074076845e-07,1.82529626969106e-05,FALSE,"Neither"
"LIMK1",0.373879496421799,6.20967089302636,58.5451433981403,1.86785411063137e-13,3.72558130138583e-11,FALSE,0.306932235083725,6.50193280712629,38.8075168872167,1.11550407856209e-09,7.38265294648669e-08,FALSE,"Neither"
"CACNA1E",0.879533980480751,3.7067900093717,58.4888576646954,1.91642652807812e-13,3.77695728242063e-11,FALSE,0.769846252098643,3.36154954534324,40.6058453957096,4.80228108406541e-10,3.54895669079553e-08,FALSE,"Neither"
"ICAM1",0.455054370638671,5.43806625984886,58.4031244798913,1.98746066629004e-13,3.87087192122724e-11,FALSE,0.2924319025544,5.50721386784231,21.9904683257429,3.68583708395097e-06,7.54364637563881e-05,FALSE,"Neither"
"DTX3L",0.407453523317366,7.57627486116093,57.4900478561166,2.96278736755061e-13,5.63780975514946e-11,FALSE,0.409222586753247,7.15271974149117,44.4125552984902,8.17148101664743e-11,7.25376084093165e-09,FALSE,"Neither"
"KREMEN1",0.933344621346548,6.30226463986719,57.2154747079285,3.34152177958116e-13,6.28623784783706e-11,FALSE,0.692628457820445,6.04405427219516,28.604364231706,1.44555534236798e-07,4.97390395555149e-06,FALSE,"Neither"
"LINC02471",0.824620845750879,0.365111639577952,56.9518064141331,3.56175557883837e-13,6.62526557389543e-11,FALSE,1.15827118184622,0.0543551857993427,89.8479933008965,1.79520351240621e-19,1.07726572372472e-16,TRUE,"GSE94438 only"
"CASP5",0.823682022057176,3.63406111109398,56.6336996319336,4.31754202179772e-13,7.94187868565125e-11,FALSE,0.926873209804777,3.47631911723098,55.8916485151447,4.3360881155096e-13,7.22777710098612e-11,FALSE,"Neither"
"MAP3K20",0.466047681886841,3.84602234779323,56.5869960030616,4.40526292908062e-13,8.01418986713514e-11,FALSE,0.3002736605191,3.44475532851016,22.6583741738977,2.64833219092557e-06,5.70837349544044e-05,FALSE,"Neither"
"LUC7L",-0.191767517288618,6.1104543688593,55.5565708128019,6.92413663532984e-13,1.23257077417081e-10,FALSE,-0.0897084115370449,5.83010820070078,7.35100573881152,0.00697109647621432,0.027513914584627,FALSE,"Neither"
