"gene","logFC","logCPM","F","PValue","FDR"
"PUS7",-0.0864759426649131,1.84711972974666,4.09039748899847,0.0437522848025422,0.104212081934375
"ZNF681",-0.157464482185033,1.20878910229737,4.09025390908967,0.0437562927679394,0.104212081934375
"CORO2B",-0.234600453807979,1.81241719713033,4.08778405640694,0.0438193340359201,0.10434427072839
"ZNF587B",-0.0521945142901911,3.94305498073816,4.08752725074422,0.0438257065630972,0.10434427072839
"TRAV4",-0.115546830536654,2.38254419310188,4.0866688479734,0.0438478486598224,0.104380422975985
"RBM19",-0.0536368726958677,5.16214267159401,4.0849200075912,0.0438926888915344,0.104470588410408
"ILF3-DT",-0.0620537329460733,4.09934791057332,4.08305119507842,0.043940780405251,0.104568462506278
"LRRK1",0.0786355584063839,5.09656830805445,4.08148378992052,0.0439811459121041,0.104643890939765
"LIN37",0.088937171646024,3.33504570819859,4.08128048506969,0.043986426894158,0.104643890939765
"ITPR2",0.0824882012386845,4.45228128256608,4.08077723172188,0.0439993600853067,0.104658062470235
"NPIPB13",-0.100431827802294,3.11933462723613,4.07886499260616,0.0440487370676137,0.104758901948057
"SRSF9",0.034576513281488,6.27272637008002,4.07730855221376,0.0440888796752982,0.104831522657313
"LINC01347",0.160679983856166,1.0010252686092,4.0771662498907,0.0440932480980965,0.104831522657313
"MRPS6",-0.051497632623294,5.15800310576846,4.07672044866926,0.0441040775777,0.104840654701419
"POU2AF1",-0.130373534543133,6.09862440925481,4.07589899327224,0.0441253137496748,0.104874517882228
"BRCA2",0.13165621087622,1.38789360537139,4.07510138294853,0.0441463361238845,0.104907862273169
"THAP12P7",-0.156970068822579,0.786276904536219,4.07444087606985,0.0441639590203073,0.104933118977297
"FANCG",-0.0646031226848885,3.99163217399046,4.07247057420934,0.0442140726924427,0.105035553211722
"TSPAN9",0.198775618444275,2.89402960090012,4.07215014167912,0.0442224300952816,0.105038773953359
"MAF",-0.108231427077253,5.16277070500831,4.07145575288693,0.0442403705874878,0.105064752185134
"MCCC1",-0.0461987132491795,3.76226413970203,4.07089449882376,0.0442549425325315,0.105082723626628
"XRCC5",0.0499071679949122,8.104155862896,4.07049366199504,0.0442653247866397,0.105090742593633
"MTCH1",0.0542892202508277,7.64886738001785,4.06932060523015,0.0442957717465963,0.105146387301019
"UIMC1",0.065633193234023,5.66547019883087,4.06529338945831,0.0444004677971822,0.105368375923731
"CHML",-0.197872627224803,1.88312156085346,4.06519127472546,0.044403337727625,0.105368375923731
"CD248",-0.177123542496885,3.5422135956138,4.0646757674955,0.0444165800214837,0.105383130394164
"TBRG1",-0.0414751004671797,5.65018959963018,4.06318250976701,0.0444554488734901,0.105458672359282
"MLLT11",-0.0720921752310447,2.47230344561209,4.06262910266454,0.0444699719323091,0.105476445680396
"PPRC1",-0.0700505999292921,5.32489319198912,4.06202936220144,0.0444855149105487,0.105487481487733
"LDHD",0.172449808666374,1.42080285937777,4.0619248279641,0.044488687866477,0.105487481487733
"TMPPE",0.115063785042407,1.37831763325108,4.06140730135097,0.0445021675730815,0.105502768320381
"XPOT",-0.0655623516217025,4.84619404245303,4.06091288347364,0.0445146459846786,0.105515676894004
"RNF125",-0.0897180780887237,5.07722688638053,4.06054627914557,0.044524215011054,0.105521686192074
