"gene","logFC","logCPM","t","PValue","FDR","B","sig"
"BANK1",-0.178394600897067,5.71430396703978,-2.40989728111136,0.0164688126414278,0.0850144038911247,-3.65342178628659,FALSE
"SLC39A8",0.000653027914783089,4.25194357536568,0.013146164362446,0.98951861941761,0.99477905347749,-6.37936184294318,FALSE
"NFKB1",0.138938937158696,6.86499840384968,3.05864530521725,0.00239355561189427,0.0251630411403802,-1.90905538264015,FALSE
"MANBA",0.11002899008792,6.34674497219393,2.53145282339822,0.0117932025446327,0.0690857990539257,-3.34732937314432,FALSE
"KRT8P46",0.0722995727753221,-0.340083259767861,0.55597053202192,0.578583799906891,0.740793101891615,-5.47068475318278,FALSE
"UBE2D3",0.125822547549115,8.49569766805592,3.16921214016921,0.00166230535192239,0.0199969464523692,-1.48012728752055,FALSE
"CISD2",0.146499023847526,3.59160338642727,2.31295147566312,0.0213006180286274,0.0988472977903405,-3.71936547170004,FALSE
"SLC9B2",-0.108780345937879,3.11351616885688,-2.33161162816591,0.0202841978688395,0.0961970628232174,-3.59142417359215,FALSE
"BDH2",-0.173596855695999,2.51279806437391,-2.29289635536084,0.0224424244880417,0.101901902742603,-3.58940970090306,FALSE
"CENPE",0.058008775302707,0.91217262822226,0.476990720266989,0.633664375290946,0.779164207802132,-5.69788969870972,FALSE
"DDX3P3",0.098483884301634,0.996633804810456,1.05868320393743,0.290469172113855,0.491789440002543,-5.31203385094588,FALSE
"AC004069.1",0.138024206098209,1.94157874586311,1.47713539172807,0.140532399765983,0.3143512874106,-4.95760362498497,FALSE
"TET2",0.109689593574228,7.15722794998604,1.53221826851053,0.126365749441847,0.295232241825808,-5.24942504255559,FALSE
"PPA2",-0.0222448329617591,4.52300092576156,-0.44596606911658,0.655895620194444,0.794203627290741,-6.31118762026145,FALSE
"EEF1A1P9",-0.14885986837206,6.37832198709778,-1.91812061874644,0.055903524226945,0.178116416573543,-4.66426415329331,FALSE
"INTS12",0.0232932708966369,3.63145549947698,0.78583934914445,0.432489644143273,0.625042868510859,-5.9865674182994,FALSE
"GSTCD",-0.0611766797708776,1.7006168111306,-0.946395393202715,0.344595397548394,0.545650579283947,-5.5090664677248,FALSE
"TBCK",-0.0564786673148666,3.98257320280426,-1.41885177725159,0.1568260146921,0.337746152364736,-5.3601855758436,FALSE
"AIMP1",-0.0616795433977798,5.19470022747445,-1.24831122827547,0.212745790097744,0.40698018893785,-5.70083081026063,FALSE
"PAPSS1",0.0949154536574631,5.62704997021602,1.45501601463017,0.146554954298195,0.323284168767846,-5.44182457033219,FALSE
"SGMS2",0.0920852381914681,3.38423977470914,1.09352002654611,0.274912430589146,0.474773136699698,-5.67253594805038,FALSE
"CYP2U1",-0.0354580764069487,3.25334909903464,-0.820544988838282,0.412460159029521,0.606904091434869,-5.89355871131363,FALSE
"HADH",-0.0587260190303539,4.75136553210218,-1.8262432739947,0.068659542490171,0.202249066367331,-4.80838744843427,FALSE
"LEF1",-0.0868511920164707,7.45216955867391,-1.32584733860846,0.185749000052624,0.373914724692508,-5.51692309270233,FALSE
"LEF1-AS1",-0.160108160150551,1.76032033326362,-1.69899059063053,0.0902034732720525,0.240240970025009,-4.5893234075327,FALSE
"RPL34",-0.263440428258483,5.35869563384906,-1.28279577021056,0.200406670265305,0.392304746915511,-5.65985406079662,FALSE
"OSTC",-0.0543781663170582,4.73187111482329,-0.802922869157987,0.422560482536074,0.616125487791502,-6.11441763062055,FALSE
"SEC24B-AS1",-0.134067096170259,0.69410537709346,-2.02852691902422,0.0432580633146143,0.152922749983652,-3.90595582853183,FALSE
"SEC24B",0.0426407459690371,5.66721953632172,1.2927609477099,0.196940640650986,0.388044787666875,-5.65867769762578,FALSE
"MCUB",-0.0213323738314862,5.86181141574571,-0.500557773353524,0.616994839738186,0.767689451591793,-6.35085744685948,FALSE
"CASP6",-0.00883351606123582,3.23129235461553,-0.223542633781832,0.823242730034696,0.897752677407575,-6.19035054301393,FALSE
"AC004067.1",-0.0544566268587114,-0.118601172149135,-0.599604432256727,0.549155191020104,0.719473265854529,-5.47051480783678,FALSE
"PLA2G12A",-0.0241925714116836,3.11364119620638,-0.511839147794767,0.609084164815499,0.762384921309045,-6.06905342206602,FALSE
"GAR1",-0.0848548361040921,3.17678005074572,-1.73821117679319,0.0830470367335809,0.228379351017347,-4.74952309110484,FALSE
"EGF",0.369257245239674,0.466306115414578,2.39645234305369,0.0170752161920184,0.0868449167615561,-3.1826072411353,FALSE
"ELOVL6",-0.161590927044013,3.1722113973859,-2.14067181966006,0.032986293154728,0.129500236161009,-4.00431242301508,FALSE
"FAM241A",0.271273523410957,3.59805969294672,4.51291420673682,8.7265603862498e-06,0.000800522963440877,3.29133054913569,FALSE
"AP1AR",0.0331639539034878,3.96222330139783,0.529529143410483,0.596771841628982,0.753646947758624,-6.20582961092397,FALSE
"TIFA",0.380941755681289,4.67204551906415,4.85030382349891,1.85331935107658e-06,0.000282947013938272,4.68544108556106,FALSE
"ALPK1",0.331905716354526,6.88872055174516,3.84587695876345,0.000142535512084691,0.00439418138279713,0.660364822237636,FALSE
"RTEL1P1",0.196398949382769,-0.267649498060781,1.77185589360624,0.0772825183822457,0.218516155733233,-4.25611267643884,FALSE
"TOX4P1",0.133984432529118,1.21735698264921,2.1281708068316,0.0340163665030086,0.131825463086271,-3.78278939658895,FALSE
"ZGRF1",-0.0935039720672229,2.67095971810018,-1.52995858713027,0.126924067623002,0.296130887397714,-4.9900672274803,FALSE
"H3P14",0.296012855087767,-0.161381736075717,2.46171719279309,0.0143056273675119,0.0780032656794582,-3.0044630447927,FALSE
"LARP7",0.0232871468459525,4.53361929804122,0.315809773120631,0.75233384516241,0.855791502341858,-6.36485547667823,FALSE
"RPL7AP30",0.0315744474753412,5.94938866395596,0.655265283277363,0.512724460690116,0.689701263242454,-6.26148419409876,FALSE
"AC004057.1",0.085390988310971,2.89509290971402,0.569490204103006,0.569386323344867,0.734985620504816,-5.9911601314472,FALSE
"CAMK2D",0.0515764463567247,5.29973913889799,1.20369973817993,0.229513555392158,0.426633383058296,-5.76153053368167,FALSE
"UGT8",-0.136704110065423,0.375436274922782,-1.32458387263116,0.186167514041261,0.374347527626999,-4.92128994105729,FALSE
"ACTN4P1",0.129192341315638,1.88435076343622,1.52039328293611,0.129308826821929,0.299532120572807,-4.8889273473293,FALSE
"NT5C3AP1",0.278258418663876,2.48312660284938,3.64365569484353,0.000309196686999418,0.00712917987921359,0.108051436803719,FALSE
